严格循环覆盖总工作量下界（> N×9 h 即可排除该 N）
case   N  visits  distance_lb(km)  total_lb(h)  avg_lb(h)  excluded
Case1   1      72          985.134      23.9115    23.9115      True
Case1   2      72         1022.438      24.5898    12.2949      True
Case1   3      72         1065.639      25.3752     8.4584     False
Case1   4      72         1108.840      26.1607     6.5402     False
Case1   5      72         1181.489      27.4816     5.4963     False
Case1   6      72         1267.336      29.0425     4.8404     False

Case2   1     139          164.518      14.5746    14.5746      True
Case2   2     139          163.853      14.5625     7.2812     False
Case2   3     139          163.323      14.5529     4.8510     False
Case2   4     139          166.264      14.6063     3.6516     False
Case2   5     139          169.771      14.6701     2.9340     False
Case2   6     139          174.609      14.7580     2.4597     False

Case3   1     140         1048.965      30.7388    30.7388      True
Case3   2     140         1061.301      30.9630    15.4815      True
Case3   3     140         1074.807      31.2086    10.4029      True
Case3   4     140         1088.313      31.4542     7.8635     False
Case3   5     140         1108.495      31.8211     6.3642     False
Case3   6     140         1128.677      32.1881     5.3647     False

Case4   1     182          719.157      28.2422    28.2422      True
Case4   2     182          716.208      28.1886    14.0943      True
Case4   3     182          713.878      28.1463     9.3821      True
Case4   4     182          725.345      28.3548     7.0887     False
Case4   5     182          736.812      28.5633     5.7127     False
Case4   6     182          748.280      28.7718     4.7953     False

